Name,Purpose,Price,Seller,Link
Screws,Mounting and securing 3D printed parts,$2.23,AliExpress,https://www.aliexpress.com/item/1005008314123679.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%202.23%21USD%202.17%21%21USD%202.17%21%21%21%402103828617851600233073312e0d3f%2112000044581940836%21ct%21GB%21-1%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Stabilizers,Preventing keycap rattle for larger keys,$10.58,AliExpress,https://www.aliexpress.com/item/4001143514438.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%2010.58%21USD%209.80%21%21USD%209.80%21%21%21%402103828617851600233073312e0d3f%2112000033301894110%21ct%21GB%21-1%21%211%210%21
Keycaps,Providing a solid surface to type on,$7.74,AliExpress,https://www.aliexpress.com/item/1005009314900504.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%207.74%21USD%207.74%21%21USD%207.74%21%21%21%402103828617851599120458513e0d3f%2112000048718150403%21ct%21GB%21-1%21%211%210%21
Mechanical Swiches,Registering keystrokes and completing a circuit to alert the MCU,$19.67,AliExpress,https://www.aliexpress.com/item/1005012344423067.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%2019.67%21USD%2018.50%21%21USD%2018.50%21%21%21%402103828617851600233073312e0d3f%2112000058131373053%21ct%21GB%21-1%21%211%210%21
Rotary Encoder,Providing volume control,$2.75,AliExpress,https://www.aliexpress.com/item/1005005983134515.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%202.75%21USD%202.75%21%21USD%202.75%21%21%21%402103828617851600233073312e0d3f%2112000035172713578%21ct%21GB%21-1%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Development Board,Controlling the enitre board and sending signals to the computer,$7.10,AliExpress,https://www.aliexpress.com/item/1005007319706057.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%207.10%21USD%206.69%21%21USD%206.69%21%21%21%402103828617851600233073312e0d3f%2112000058208354042%21ct%21GB%21-1%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Hotswap Sockets,Enabling future customizability,$14.77,AliExpress,https://www.aliexpress.com/item/1005008467527706.html?spm=a2g0o.cart.0.0.d37038daXhhulS&mp=1&pdp_npi=6%40dis%21USD%21USD%2014.77%21USD%2014.77%21%21USD%2014.77%21%21%21%400b884c0217861202998693843e0e67%2112000045271033989%21ct%21GB%21-1%21%211%210%21
USBC breakout board,Provding power from the computer and data to the computer,$1.25,AliExpress,https://www.aliexpress.com/item/1005004796961137.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%201.25%21USD%201.25%21%21USD%201.25%21%21%21%402103828617851600233073312e0d3f%2112000030535322715%21ct%21GB%21-1%21%211%210%21
Steel rods,Providing structural support,$4.58,AliExpress,https://www.aliexpress.com/item/1005009384686024.html?spm=a2g0o.cart.0.0.16e738daMmvBdI&mp=1&pdp_npi=6%40dis%21USD%21USD%204.58%21USD%204.58%21%21USD%204.58%21%21%21%402103828617851600233073312e0d3f%2112000048997031433%21ct%21GB%21-1%21%211%210%21
Copper Braid,Remove excess solder,$3.16,AliExpress,https://www.aliexpress.com/item/1005006361511422.html?spm=a2g0o.cart.0.0.d37038daXhhulS&mp=1&pdp_npi=6%40dis%21USD%21USD%203.16%21USD%203.16%21%21USD%203.16%21%21%21%400b884c0217861202998693843e0e67%2112000036903988517%21ct%21GB%21-1%21%211%210%21
Heatshrink,Cover soldered wire joints,$0.85,AliExpress,https://www.aliexpress.com/item/1005008538975205.html?spm=a2g0o.cart.0.0.d37038daXhhulS&mp=1&pdp_npi=6%40dis%21USD%21USD%201.00%21USD%200.85%21%21USD%200.85%21%21%21%400b884c0217861202998693843e0e67%2112000045622723973%21ct%21GB%21-1%21%211%210%21
10uF Capcitor,Smooth power intake to the MCU,$1.42,AliExpress,https://www.aliexpress.com/item/1005011924154857.html?spm=a2g0o.cart.0.0.d37038daXhhulS&mp=1&pdp_npi=6%40dis%21USD%21USD%201.42%21USD%200.99%21%21USD%200.99%21%21%21%400b884c0217861202998693843e0e67%2112000057042970268%21ct%21GB%21-1%21%211%210%21
